function,article,prep,number,quant,anger,friend,cause,hear,bio,time,swear,netspeak,Type
54.21,6.58,13.51,0.88,3.95,0,0.09,2.28,0.53,1.93,7.11,0,0,Fake
47.47,7.59,13.98,2.77,1.57,1.57,0.24,1.2,0.6,0.6,5.06,0.24,0.72,Fake
38.98,9.37,13.85,3.08,2.09,0.93,0.06,0.76,0.41,1.4,4.54,0.12,0.06,Fake
48.65,5.41,15.32,1.65,2.1,0.45,0,1.8,0.75,0.6,3.45,0.15,0,Fake
39.53,6.46,17.61,2.54,0.78,1.57,0,2.54,1.17,0.78,3.91,0,0,Fake
49.22,12.41,15.61,1.3,1.57,0.82,0,1.64,0.2,0.68,3.95,0.07,0,Fake
41.02,11.91,14.93,3.4,3.02,0,0.38,2.08,1.13,1.51,2.46,0,0.19,Fake
41.02,9.46,15.54,3.45,2.35,1.1,0,2.07,0.14,0.28,3.8,0,0.14,Fake
52.12,5.7,11.4,1.3,1.79,0.49,0,1.63,1.14,3.09,5.37,0,0.16,Fake
47.09,8.23,14.64,3.66,2.37,0.11,0,1.83,0.48,0,4.68,0,0,Fake
45.39,9.49,14.29,3.2,3.76,0.47,0,2.35,0.56,0.75,7.05,0,0.09,Fake
53.69,7.59,14.25,2.51,2.51,1.19,0.07,1.72,0.46,1.39,5.47,0.2,0,Fake
42.6,8.75,14.54,1.8,1.93,3.6,0,3.6,0.64,0.51,3.73,0,0.39,Fake
47.31,7.22,14.89,1.03,1.26,1.72,0.23,1.37,1.72,1.49,5.61,0,0,Fake
47.21,10.31,13.51,1.95,1.53,2.37,0,1.39,0.7,2.65,5.85,0.14,0.14,Fake
42.37,9.43,15.31,3.99,1.75,0.4,0.04,2.02,0.18,0.4,2.92,0.09,0.22,Fake
51.72,8.53,13.32,0.62,0.52,0,0,1.04,1.04,1.56,4.58,0,0.1,Fake
43.86,9.54,16.56,1.1,1.86,0.99,0,1.75,1.1,0.66,5.04,0.11,0,Fake
48.43,8.92,13.46,2.1,1.05,1.05,0,1.05,1.57,0.35,5.07,0,0,Fake
43.31,9.2,16.39,3.51,0.84,2.17,0,1.17,0.33,1.17,4.68,0,0,Fake
46.51,5.03,14.94,2.23,2.93,1.12,0,2.93,0.98,0.42,4.33,0,0.28,Fake
46.68,9.16,15.06,0.88,1.76,1.63,0,3.14,0.5,0.63,4.52,0.13,0.13,Fake
51.86,9.01,13.94,2.23,2.04,0,0.19,1.3,0.37,0.19,3.81,0,0.09,Fake
49.84,6.92,14.69,2.97,2.75,0.31,0.13,1.6,0.67,0.4,5.15,0,0,Fake
42.74,9.83,17.81,0.71,1.71,1.42,0,1.99,0.28,2.71,3.99,0,0,Fake
59.68,5.96,13.32,2.45,2.28,0.61,0,3.86,0.26,1.49,6.4,0.09,0,Fake
43.99,7.58,15.49,7.58,1.65,0,0,0.99,0,0,5.77,0,0,Fake
53.56,10.14,13.29,0.83,1.42,0.12,0,1.84,0.59,0.12,2.97,0,0.06,Fake
43.02,7.36,13.84,2.24,1.87,2.62,0,2.49,0.25,0.75,2.99,0.12,0,Fake
50.81,8.21,12.76,1.38,2.6,0.73,0.24,1.87,0.57,1.06,5.69,0.08,0.41,Fake
46.1,10.61,14.57,3.23,2.29,0.52,0,1.46,0.1,0.1,4.27,0,0,Fake
47.63,10.61,15.5,2.37,1.96,0.28,0,2.09,1.54,2.23,5.17,0,0,Fake
35.54,4.94,15.45,7.35,1.17,0.12,0,3.21,0.12,8.22,4.94,0.06,0.06,Fake
48.85,9.17,14.48,2.29,4.46,1.69,0,2.41,0,0.48,4.22,0,0.12,Fake
49.22,8.01,15.27,0.89,1.26,0.82,0.3,1.63,0.37,0.44,3.63,0,0,Fake
46.52,8.72,14.89,1.37,1.27,1.27,0.1,1.76,0.1,1.37,3.13,0,0.1,Fake
46.41,9.33,14.3,1.45,1.22,0.92,0,2.83,0.31,0.15,2.91,0.08,0,Fake
